,idx,title,summary,genres,authors,ban_info
849,850,Hold Me Closer: The Tiny Cooper Story,"It’s Tiny Cooper’s turn in the spotlight in this companion novel to New York Times bestseller Will Grayson, Will Grayson.   Jazz hands at the ready! Tiny Cooper (“the world’s largest person who is also really, really gay”) stole readers’ hearts when he was introduced to the world in the New York Times bestselling book Will Grayson, Will Grayson, co-authored by John Green and David Levithan. Now Tiny finally gets to tell his story—from his fabulous birth and childhood to his quest for true love and his infamous parade of ex-boyfriends—the way he always intended: as a musical! Filled with honesty, humor, and “big, lively, belty” musical numbers, the novel is told through the full script of the musical first introduced in Will Grayson, Will Grayson.","Young Adult, LGBT, Contemporary, Fiction, Humor, Romance, Plays","Levithan, David","Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
850,851,Love Is the Higher Law,"First there is a Before, and then there is an After. . . .The lives of three teens—Claire, Jasper, and Peter—are altered forever on September 11, 2001. Claire, a high school junior, has to get to her younger brother in his classroom. Jasper, a college sophomore from Brooklyn, wakes to his parents’ frantic calls from Korea, wondering if he’s okay. Peter, a classmate of Claire’s, has to make his way back to school as everything happens around him.Here are three teens whose intertwining lives are reshaped by this catastrophic event. As each gets to know the other, their moments become wound around each other’s in a way that leads to new understandings, new friendships, and new levels of awareness for the world around them and the people close by.David Levithan has written a novel of loss and grief, but also one of hope and redemption as his characters slowly learn to move forward in their lives, despite being changed forever.","Young Adult, LGBT, Fiction, Contemporary, Historical Fiction, Realistic Fiction, Romance","Levithan, David","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator;"
851,852,The Realm of Possibility,"One school. Twenty voices.Endless possibilities.There's the girl who is in love with Holden Caulfield. The boy who wants to be strong who falls for the girl who's convinced she needs to be weak. The girl who writes love songs for a girl she can't have. The two boys teetering on the brink of their first anniversary. And everyone in between.As he did in the highly acclaimed Boy Meets Boy, David Levithan gives us a world of unforgettable voices that readers will want to visit again and again. It's the realm of possibility open to us all - where love, joy, and the stories we tell will linger.","Young Adult, Poetry, LGBT, Fiction, Contemporary, Romance, Queer","Levithan, David","Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator;"
852,853,Two Boys Kissing,"New York Times bestselling author David Levithan tells the based-on-true-events story of Harry and Craig, two 17-year-olds who are about to take part in a 32-hour marathon of kissing to set a new Guinness World Record—all of which is narrated by a Greek Chorus of the generation of gay men lost to AIDS. While the two increasingly dehydrated and sleep-deprived boys are locking lips, they become a focal point in the lives of other teen boys dealing with languishing long-term relationships, coming out, navigating gender identity, and falling deeper into the digital rabbit hole of gay hookup sites—all while the kissing former couple tries to figure out their own feelings for each other.","Young Adult, LGBT, Romance, Contemporary, Fiction, Queer, Gay","Levithan, David","Banned in Libraries, Florida, Polk County Public Schools, January 2022, Administrator; Banned in Libraries and Classrooms, Florida, St. Lucie Public Schools, December 2021, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries, Georgia, Forsyth County Schools, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
853,854,Wide Awake,"I can't believe there's going to be a gay Jewish president.As my mother said this, she looked at my father, who was still staring at the screen. They were shocked, barely comprehending. Me? I sat there and beamed. Everything seems to be going right in Duncan's life: The candidate he's been supporting for president has just won the election. Duncan's boyfriend, Jimmy, is with him to celebrate. Love and kindness appear to have won the day.But all too quickly, things start to go wrong. The election is called into question... and Duncan and Jimmy's relationship is called into question, too. Suddenly Duncan has to decide what he's willing to risk for something he believes in... and how far he's willing to go to hold on to the people we hold dear.","Young Adult, LGBT, Fiction, Politics, Romance, Queer, Realistic Fiction","Levithan, David","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
854,855,"The Family Fletcher Takes Rock Island (Family Fletcher, #2)","Love the TV show Modern Family ? Wait until you meet the family Fletcher! With two dads, four adopted brothers, two cats, and one pug, the Fletchers will have you laughing out loud!  Welcome to Rock Island, Where Time Stands Still! The Fletchers are back on Rock Island, home of all their best summer memories. But from the first day they arrive, it’s clear that this year, things have changed. FIRST, a giant fence is blocking their beloved lighthouse. SECOND, they have new neighbors. THIRD, who the heck is the weird artist guy who's never actually painting? And FOURTH, there's now an ice cream truck! Can the island stay the same even with these crazy transformations?  Over the course of the summer, the Fletchers will learn that sometimes, even in a place where time stands still, the wildest, weirdest, and most wonderful surprises await.A JLG Selection! ""There is constant action and delightful humor, but there are also realistic present-day problems and happy solutions. An old-fashioned summer adventure set in a very modern world, this lively family tale will leave readers impatient for more. ""-- Kirkus, Starred ""While the other story lines reach satisfying resolutions, this one— about a young African American male struggling to figure out his identity in the largely white landscape of Rock Island—leaves room for thought-provoking, timely discussion.-- Horn Book""A must-have middle grade family story with contemporary sensibilities.""-- SLJ, Starred   ""Lots of kids will want to take this along on their summer vacations.""-- Booklist ","Middle Grade, LGBT, Realistic Fiction, Family, Mystery, Fiction, Humor","Levy, Dana Alison","Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned in Libraries, Florida, Lee County Schools, May 2022, Administrator; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator;"
855,856,"The Misadventures of the Family Fletcher (Family Fletcher, #1)","Meet the Fletchers. Their year will be filled with new schools, old friends, a grouchy neighbor, hungry skunks, leaking ice rinks, school plays, wet cats, and scary tales told in the dark! There’s Sam, age twelve, who’s mostly interested in soccer, food, and his phone; Jax, age ten, who’s psyched for fourth grade and thinks the new neighbor stinks, and not just because of the skunk; Eli, age ten (but younger than Jax), who’s thrilled to be starting this year at the Pinnacle School, where everyone’s the smart kid; and Frog (not his real name), age six, who wants everyone in kindergarten to save a seat for his invisible cheetah. Also Dad and Papa.  WARNING: This book contains cat barf, turtle pee, and some really annoying homework assignments.","Middle Grade, Realistic Fiction, LGBT, Family, Fiction, Humor, Childrens","Levy, Dana Alison","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
856,857,Gravity,"Ellie Gold is an orthodox Jewish teenager living in Toronto in the late eighties. Ellie has no doubts about her strict religious upbringing until she falls in love with another girl at her grandmother's cottage. Aware that homosexuality clashes with Jewish observance, Ellie feels forced to either alter her sexuality or leave her community. Meanwhile, Ellie's mother, Chana, becomes convinced she has a messianic role to play, and her sister, Neshama, chafes against the restrictions of her faith. Ellie is afraid there is no way to be both gay and Jewish, but her mother and sister offer alternative concepts of God that help Ellie find a place for herself as a queer Jew.","Young Adult, LGBT, Queer, Fiction, Religion, Jewish, Realistic Fiction","Lieberman, Leanne","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator;"
857,858,Gender Identity: The Search for Self,"As acceptance for the LGBT community grows, our society is coming to understand that many gender identities are not binary. Young adulthood is a critical time for exploring and coming to terms with gender identity. Readers learn about non-binary identities and the issues the community still faces despite the progress that has been made in the 21st century. Fact boxes highlight transgender and non-binary role models in the media, and contact information for LGBT organizations is provided. This volume is an important resource for young adults of all genders and their allied friends and family.",LGBT,"Light, Kate","Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
858,859,"Girl, (Nearly) 16: Absolute Torture","Just when things were going so well.Jess had the perfect summer She and Fred, lounging in the park, gazing into one another’s eyes and engaging in witty repartee. It was going to be so romantic. And then her maddening mum stepped She suddenly announced a two-week “road trip” to Cornwall to visit Jess’s dad, something Jess might have enjoyed, actually, were it not for the monstrously bad timing. Not only will this force Jess and Fred apart for two whole weeks, it will also leave the darling and handsome Fred in the clutches of Jess’s blindingly beautiful best friend, Flora—who, you might recall, expressed an interest in Fred not too long ago. As if all this weren’t enough, Jess’s mum seems to expect her to weep at the grave of every departed literary hero in Britain’s long history. It’s absolute torture. And little does Jess know, a huge surprise awaits her when she visits her dad at his home for the first time in years.","Young Adult, Teen, Humor, Chick Lit, Romance, Fiction, Contemporary","Limb, Sue","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator;"
859,860,A Big Mooncake for Little Star,"A gorgeous picture book that tells a whimsical origin story of the phases of the moon, from award-winning, bestselling author-illustrator Grace LinPat, pat, pat...Little Star's soft feet tiptoed to the Big Mooncake.Little Star loves the delicious Mooncake that she bakes with her mama. But she's not supposed to eat any yet! What happens when she can't resist a nibble?In this stunning picture book that shines as bright as the stars in the sky, Newbery Honor author Grace Lin creates a heartwarming original story that explains phases of the moon.","Picture Books, Childrens, Fantasy, Fiction, Family, Storytime, Food","Lin, Grace","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
860,861,Dim Sum for Everyone!,"In English, dim sum means “little hearts,” or “touches the heart,” but to this young girl, dim sum means delicious. On a visit to a bustling dim sum restaurant, a family picks their favorite little dishes from the steaming trolleys filled with dumplings, cakes, buns, and tarts. And as is traditional and fun, they share their food with each other so that everyone gets a bite of everything.Just right for young children, Dim Sum for Everyone! celebrates a cultural custom and a universal favorite activity–eating!","Picture Books, Food, Childrens, Cultural, China, Family, Fiction","Lin, Grace","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
861,862,Starry River of the Sky,"The moon is missing from the remote Village of Clear Sky, but only a young boy named Rendi seems to notice! Rendi has run away from home and is now working as a chore boy at the village inn. He can't help but notice the village's peculiar inhabitants and their problems-where has the innkeeper's son gone? Why are Master Chao and Widow Yan always arguing? What is the crying sound Rendi keeps hearing? And how can crazy, old Mr. Shan not know if his pet is a toad or a rabbit?But one day, a mysterious lady arrives at the Inn with the gift of storytelling, and slowly transforms the villagers and Rendi himself. As she tells more stories and the days pass in the Village of Clear Sky, Rendi begins to realize that perhaps it is his own story that holds the answers to all those questions.Newbery Honor author Grace Lin brings readers another enthralling fantasy featuring her marvelous full-color illustrations. Starry River of the Sky is filled with Chinese folklore, fascinating characters, and exciting new adventures.","Fantasy, Middle Grade, Fiction, Childrens, China, Mythology, Young Adult","Lin, Grace","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
862,863,Draw the Line,"After a hate crime occurs in his small Texas town, Adrian Piper must discover his own power, decide how to use it, and know where to draw the line in this “powerful debut” novel (Publishers Weekly, starred review) exquisitely illustrated by the author.Adrian Piper is used to blending into the background. He may be a talented artist, a sci-fi geek, and gay, but at his Texas high school, those traits would only bring him the worst kind of attention. In fact, the only place he feels free to express himself is at his drawing table, crafting a secret world through his own Renaissance art-inspired superhero, Graphite. But in real life, when a shocking hate crime flips his world upside down, Adrian must decide what kind of person he wants to be. Maybe it’s time to not be so invisible after all—no matter how dangerous the risk.","Young Adult, LGBT, Contemporary, Romance, Fiction, Realistic Fiction, Coming Of Age","Linn, Laurent","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
863,864,The Lucky List,"Emily and her mum were always lucky.But Emily’s mum’s luck ran out three years ago when she succumbed to cancer, and nothing has felt right since.Now, the summer before her senior year, things are worse than ever – Emily has wrecked things with her boyfriend, Matt, and her dad is selling the house she grew up in and giving her mum’s belongings away. The only person she has to talk to is Blake, a girl she barely knows since she and her dad moved back to town five seconds ago.But that’s when Emily finds the list – her mum’s senior year summer bucket list – buried in the back of her closet. When Blake suggests that Emily take it on as a challenge, the two set off on a journey to tick each box and help Emily face her fears over losing her connection to her mum. As she starts to feel closer to her mother, so too does Emily’s bond with Blake deepen into something she wasn't expecting.And suddenly Emily must face another fear: accepting the secret part of herself she never got a chance to share with the person who knew her best.","Romance, LGBT, Young Adult, Lesbian, Contemporary, Queer, Fiction","Lippincott, Rachael","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
864,865,A Line in the Dark,"The most important thing is that Jess Wong is Angie Redmond's best friend, even if Angie can't see how she truly feels. It's okay that Jess is the girl on the sidelines that nobody notices. That means she's free to watch everyone else and be at Angie's side. But when Angie starts falling for Margot, a girl from the nearby boarding school, Jess can already see what's going to happen. And suddenly her gift for observation is a curse.As Angie drags Jess further into Margot's circle, Jess finds more than her friend's growing crush. Secrets lie just beneath the carefree surface of this world, and when they come out, Jess knows Angie won't be able to handle the consequences. When the inevitable darkness finally descends, Angie will need her best friend.","Young Adult, Mystery, LGBT, Thriller, Contemporary, Queer, Fiction","Lo, Malinda","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
865,866,Ash,"
Cinderella retold
In the wake of her father's death, Ash is left at the mercy of her cruel stepmother. Consumed with grief, her only joy comes by the light of the dying hearth fire, rereading the fairy tales her mother once told her. In her dreams, someday the fairies will steal her away, as they are said to do. When she meets the dark and dangerous fairy Sidhean, she believes that her wish may be granted.The day that Ash meets Kaisa, the King's Huntress, her heart begins to change. Instead of chasing fairies, Ash learns to hunt with Kaisa. Though their friendship is as delicate as a new bloom, it reawakens Ash's capacity for love-and her desire to live. But Sidhean has already claimed Ash for his own, and she must make a choice between fairy tale dreams and true love.Entrancing, empowering, and romantic, Ash is about the connection between life and love, and solitude and death, where transformation can come from even the deepest grief.","Fantasy, Young Adult, LGBT, Romance, Queer, Fiction, Retellings","Lo, Malinda","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
866,867,Last Night at the Telegraph Club,"A story of love and duty set in San Francisco's Chinatown during the Red Scare.“That book. It was about two women, and they fell in love with each other.” And then Lily asked the question that had taken root in her, that was even now unfurling its leaves and demanding to be shown the sun: “Have you ever heard of such a thing?”Seventeen-year-old Lily Hu can’t remember exactly when the question took root, but the answer was in full bloom the moment she and Kathleen Miller walked under the flashing neon sign of a lesbian bar called the Telegraph Club.America in 1954 is not a safe place for two girls to fall in love, especially not in Chinatown. Red-Scare paranoia threatens everyone, including Chinese Americans like Lily. With deportation looming over her father—despite his hard-won citizenship—Lily and Kath risk everything to let their love see the light of day.","Historical Fiction, LGBT, Romance, Young Adult, Queer, Lesbian, Fiction","Lo, Malinda","Banned Pending Investigation, Florida, Brevard Public Schools, May 2022, Administrator; Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
867,868,Fly on the Wall: How One Girl Saw Everything,"At the Manhattan School for Art and Music, where everyone is ""different"" and everyone is ""special,"" Gretchen Yee feels ordinary. She's the kind of girl who sits alone at lunch, drawing pictures of Spider-Man, so she won't have to talk to anyone; who has a crush on Titus but won't do anything about it; who has no one to hang out with when her best (and only real) friend Katya is busy. One day, Gretchen wishes that she could be a fly on the wall in the boys' locker room—just to learn more about guys. What are they really like? What do they really talk about? Are they really cretins most of the time? Fly on the Wall is the story of how that wish comes true.","Young Adult, Contemporary, Fantasy, Fiction, Romance, Magical Realism, Chick Lit","lockhart, e","Banned in Libraries and Classrooms, Florida, Lee County Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned Pending Investigation, Florida, Santa Rosa County District Schools, April 2022, Administrator; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator;"
868,869,"By E. Lockhart Real Live Boyfriends: Yes. Boyfriends, plural. If my life weren't complicated, I wouldn't be Ruby Ol","Ruby Oliver, the neurotic, hyperverbal heroine of the The Boyfriend List, The Boy Book, and The Treasure Map of Boys, is back!Ruby Oliver is in love. Or it would be love, if Noel, her real live boyfriend, would call her back. But Noel seems to have turned into a pod-robot lobotomy patient, and Ruby can’t figure out why.Not only is her romantic life a shambles:Her dad is eating nothing but Cheetos,Her mother’s got a piglet head in the refrigerator,Hutch has gone to Paris to play baguette air guitar,Gideon shows up shirtless,And the pygmy goat Robespierre is no help whatsoever.Will Ruby ever control her panic attacks?Will she ever understand boys?Will she ever stop making lists?(No to that last one.)Roo has lost most of her friends. She’s lost her true love, more than once. She’s lost her grandmother, her job, her reputation, and possibly her mind. But she’s never lost her sense of humor. The Ruby Oliver books are the record of her survival.","Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen","lockhart, e","Banned in Libraries and Classrooms, Florida, Lee County Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Florida, Polk County Public Schools, January 2022, Administrator; Banned Pending Investigation, Florida, St. Lucie Public Schools, February 2022, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator;"
869,870,For Black Girls Like Me,"I am a girl but most days I feel like a question mark.Makeda June Kirkland is eleven years old, adopted, and black. Her parents and big sister are white, and even though she loves her family very much, Makeda often feels left out. When Makeda's family moves from Maryland to New Mexico, she leaves behind her best friend, Lena―the only other adopted black girl she knows―for a new life. In New Mexico, everything is different. At home, Makeda’s sister is too cool to hang out with her anymore and at school, she can’t seem to find one real friend.Through it all, Makeda can’t help but wonder: What would it feel like to grow up with a family that looks like me?Through singing, dreaming, and writing secret messages back and forth with Lena, Makeda might just carve a small place for herself in the world.","Middle Grade, Realistic Fiction, Adoption, Young Adult, Fiction, Mental Health, African American","Lockington, Mariama J.","Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
870,871,"Black Wings Beating (Skybound, #1)","The people of Uztar have long looked to the sky with hope and wonder. Nothing in their world is more revered than the birds of prey and no one more honored than the falconers who call them to their fists.Brysen strives to be a great falconer--while his twin sister, Kylee, rejects her ancient gifts for the sport and wishes to be free of falconry. She's nearly made it out, too, but a war is rolling toward their home in the Six Villages, and no bird or falconer will be safe.Together the twins must journey into the treacherous mountains to trap the Ghost Eagle, the greatest of the Uztari birds and a solitary killer. Brysen goes for the boy he loves and the glory he's long craved, and Kylee to atone for her past and to protect her brother's future. But both are hunted by those who seek one thing: power.","Fantasy, Young Adult, LGBT, Queer, Fiction, Young Adult Fantasy, High Fantasy","London, Alex","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
871,872,"Gold Wings Rising (Skybound, #3)","In the final installment of this LGBTQ fantasy series, Kylee and Brysen must fight for their lives and their humanity. Book 1 was a Today Show Book Club Pick!The war on the ground has ended, but the war with the sky has just begun. After the Siege of the Six Villages, the ghost eagles have trapped Uztaris on both sides of the conflict. The villagers and Kartami alike hide in caves, huddled in terror as they await nightly attacks. Kylee aims to plunge her arrows into each and every ghost eagle; in her mind, killing the birds is the only way to unshackle the city’s chains. But Brysen has other plans.While the humans fly familiar circles around each other, the ghost eagles create schemes far greater and more terrible than either Kylee or Brysen could have imagined. In the final installment of the Skybound Saga, the tug-of-war between love and power begins to fray, threatening bonds of siblinghood and humanity alike.","Fantasy, Young Adult, LGBT, Queer, Fiction, Young Adult Fantasy, High Fantasy","London, Alex","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
872,873,Guardian (Proxy Series),"The pulse-pounding sequel to Proxy! Inspired by The Whipping Boy and Feed, this adrenaline-fueled thriller will appeal to fans of The Hunger Games and Divergent.In the new world led by the Rebooters, former Proxy Syd is the figurehead of the Revolution, beloved by some and hated by others. Liam, a seventeen-year-old Rebooter, is Syd’s bodyguard and must protect him with his life. But armed Machinists aren’t the only danger.People are falling ill—their veins show through their skin, they find it hard to speak, and sores erupt all over their bodies. Guardians, the violent enforcers of the old system, are hit first, and the government does nothing to help. The old elites fall next, and in the face of an indifferent government, Syd decides it’s up to him to find a cure . . . and what he discovers leaves him stunned.This heart-stopping thriller is packed with action, adventure, and heroics. Guardian will leave you breathless until the final page.A fast-paced, thrill-ride of novel full of non-stop action, heart-hammering suspense and true friendship—just as moving as it is exhilarating. Fans of Anthony Horowitz's Alex Rider series, James Dashner's Maze Runner, Patrick Ness's Chaos Walking series, and Marie Lu's Legend trilogy will be swept away by this story.","Young Adult, LGBT, Dystopia, Science Fiction, Fiction, Queer, Romance","London, Alex","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
873,874,Proxy (Proxy Series),"Knox was born into one of the City’s wealthiest families. A Patron, he has everything a boy could possibly want—the latest tech, the coolest clothes, and a Proxy to take all his punishments. When Knox breaks a vase, Syd is beaten. When Knox plays a practical joke, Syd is forced to haul rocks. And when Knox crashes a car, killing one of his friends, Syd is branded and sentenced to death.Syd is a Proxy. His life is not his own.Then again, neither is Knox’s. Knox and Syd have more in common than either would guess. So when Knox and Syd realize that the only way to beat the system is to save each other, they flee. Yet Knox’s father is no ordinary Patron, and Syd is no ordinary Proxy. The ensuing cross-country chase will uncover a secret society of rebels, test both boys’ resolve, and shine a blinding light onto a world of those who owe and those who pay. Some debts, it turns out, cannot be repaid.","Young Adult, LGBT, Dystopia, Science Fiction, Fiction, Queer, Fantasy","London, Alex","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
874,875,The Dateable Rules: A Guide to the Sexes,"Take Wild at Heart by John Eldredge and The Mystique of a Woman by Jean Lush and turn it into something that gets the attention of busy teens and you begin to understand The Dateable Rules. This interactive guide takes up where Dateable left off and walks teens through the Bible's insights about men and women.	Guys will learn that God loves adventure and that there's a difference between a spiritual and a physical adventure. They'll also learn how to be a gentleman (open her door and carry the box of leftovers from dinner, etc.) Girls will learn that beauty is defined by God, not supermodels, and that if they talk too much, they lose. They learn the secrets of staying confident and letting a guy lead.How It Bible a study that can be used by an individual couple or a whole youth group.Focus a time when guys and girls get the lowdown on each other's gender. Guys and girls or groups can talk about what they learned in the week's study and discuss the truths of Scripture. offers lots of things for readers to do, from writing down all the bad things they have said about another person and confessing them to God to going back to the point in time when their femininity or masculinity was squashed and allowing Jesus to redefine that moment. Each section is filled with interactive activities that help students better understand God's plan for men and women.The Dateable Rules isn't about teens getting more dates; it's about learning to understand the opposite sex and making good choices based on the truth!","Relationships, Christian","Lookadoo, Justin","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator;"
875,876,A Handful of Stars,"This powerful middle-grade novel from the Newbery Honor author of Rules explores a friendship between a small-town girl and the daughter of migrant workers. When Lily's blind dog, Lucky, slips his collar and runs away across the wide-open blueberry barrens of eastern Maine, it's Salma Santiago who manages to catch him. Salma, the daughter of migrant workers, is in the small town with her family for the blueberry-picking season. After their initial chance meeting, Salma and Lily bond over painting bee boxes for Lily's grandfather, and Salma's friendship transforms Lily's summer. But when Salma decides to run in the upcoming Blueberry Queen pageant, they'll have to face some tough truths about friendship and belonging. Should an outsider like Salma really participate in the pageant—and possibly win? Set amongst the blueberry barrens and by the sea, this is a gorgeous new novel by Newbery Honor author Cynthia Lord that tackles themes of prejudice and friendship, loss and love.","Middle Grade, Realistic Fiction, Animals, Dogs, Fiction, Childrens, Young Adult","Lord, Cynthia","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
876,877,Sister Outsider: Essays and Speeches,"A collection of fifteen essays written between 1976 and 1984 gives clear voice to Audre Lorde's literary and philosophical personae. These essays explore and illuminate the roots of Lorde's intellectual development and her deep-seated and longstanding concerns about ways of increasing empowerment among minority women writers and the absolute necessity to explicate the concept of difference—difference according to sex, race, and economic status. The title Sister Outsider finds its source in her poetry collection The Black Unicorn (1978). These poems and the essays in Sister Outsider stress Lorde's oft-stated theme of continuity, particularly of the geographical and intellectual link between Dahomey, Africa, and her emerging self.Notes from a trip to RussiaPoetry is not a luxuryThe transformation of silence into language and actionScratching the surface : some notes on barriers to women and lovingUses of the erotic : the erotic as powerSexism : an American disease in blackfaceAn open letter to Mary DalyMan child : a black lesbian feminist's responseAn interview : Audre Lorde and Adrienne RichThe Master's tools will never dismantle the Master's houseAge, race, class, and sex : women redefining differenceThe uses of anger : women responding to racismLearning from the 60sEye to eye : black women, hatred, and angerGrenada revisited : an interim report","Nonfiction, Feminism, Essays, Race, LGBT, Queer, Social Justice","Lorde, Audre","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
877,878,A Long Pitch Home,"Ten-year-old Bilal liked his life back home in Pakistan. He was a star on his cricket team. But when his father suddenly sends the family to live with their aunt and uncle in America, nothing is familiar. While Bilal tries to keep up with his cousin Jalaal by joining a baseball league and practicing his English, he wonders when his father will join the family in Virginia. Maybe if Bilal can prove himself on the pitcher’s mound, his father will make it to see him play. But playing baseball means navigating relationships with the guys, and with Jordan, the only girl on the team—the player no one but Bilal wants to be friends with.","Middle Grade, Sports, Realistic Fiction, Childrens, Fiction, Cultural, Baseball","Lorenzi, Natalie Dias","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
878,879,Flying the Dragon,"American-born Skye knows very little of her Japanese heritage. Her father taught her to speak the language, but when their estranged Japanese family, including Skye's grandfather, suddenly move to the United States, Skye must be prepared to give up her All-Star soccer dreams to take Japanese lessons and to help her cousin, Hiroshi adapt to a new school. Hiroshi, likewise, must give up his home and his hopes of winning the rokkaku kite-fighting championship with Grandfather. Faced with language barriers, culture clashes and cousin rivalry, Skye and Hiroshi have a rocky start. But a greater shared loss brings them together. They learn to communicate, not only through language, but through a common heritage and sense of family honor. At the rokkaku contest at the annual Washington Cherry Blossom Festival, Hiroshi and Skye must work as a team in order to compete with the best.","Middle Grade, Realistic Fiction, Fiction, Family, Childrens, Cultural, Young Adult","Lorenzi, Natalie Dias","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
879,880,We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,"Drawing on personal stories, research, and historical events, an esteemed educator offers a vision of educational justice inspired by the rebellious spirit and methods of abolitionists.Drawing on her life's work of teaching and researching in urban schools, Bettina Love persuasively argues that educators must teach students about racial violence, oppression, and how to make sustainable change in their communities through radical civic initiatives and movements. She argues that the US educational system is maintained by and profits from the suffering of children of color. Instead of trying to repair a flawed system, educational reformers offer survival tactics in the forms of test-taking skills, acronyms, grit labs, and character education, which Love calls the educational survival complex.To dismantle the educational survival complex and to achieve educational freedom--not merely reform--teachers, parents, and community leaders must approach education with the imagination, determination, boldness, and urgency of an abolitionist. Following in the tradition of activists like Ella Baker, Bayard Rustin, and Fannie Lou Hamer, We Want to Do More Than Survive introduces an alternative to traditional modes of educational reform and expands our ideas of civic engagement and intersectional justice.","Education, Nonfiction, Teaching, Social Justice, Race, Anti Racist, School","Love, Bettina L.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
880,881,"Julián at the Wedding (Julián, #2)","The star of Julián Is a Mermaid makes a joyful return--and finds a new friend--at a wedding to be remembered. Julián and his abuela are attending a wedding. Better yet, Julián is in the wedding along with his cousin Marisol. When wedding duties are fulfilled and with a new dog friend in tow, the pair takes off to roam the venue, exploring everywhere from underneath tables to enchanting willow trees to . . . muddy puddles? After all, it wouldn't be a wedding without fun, laughter, and a little magical mischief. With ingenuity and heart, author-illustrator Jessica Love tells a charming story of friendship, acceptance, and celebration.","Picture Books, LGBT, Childrens, Realistic Fiction, Queer, Family, Fiction","Love, Jessica","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
