,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,summary,genres
1171,"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,April 2022,Administrator,"Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.It is split into four chapters, with each chapter dealing with a different pain. Healing a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them -- because there is sweetness everywhere if you are just willing to look.","Feminism, Nonfiction, Poetry, Contemporary, Adult, Romance, Mental Health"
1172,"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administrator,"Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.It is split into four chapters, with each chapter dealing with a different pain. Healing a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them -- because there is sweetness everywhere if you are just willing to look.","Feminism, Nonfiction, Poetry, Contemporary, Adult, Romance, Mental Health"
1301,"LaCour, Nina",We Are Okay,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"You go through life thinking there’s so much you need…Until you leave with only your phone, your wallet, and a picture of your mother. Marin hasn’t spoken to anyone from her old life since the day she left everything behind. No one knows the truth about those final weeks. Not even her best friend, Mabel. But even thousands of miles away from the California coast, at college in New York, Marin still feels the pull of the life and tragedy she’s tried to outrun. Now, months later, alone in an emptied dorm for winter break, Marin waits. Mabel is coming to visit, and Marin will be forced to face everything that’s been left unsaid and finally confront the loneliness that has made a home in her heart.","Young Adult, Contemporary, LGBT, Fiction, Queer, Lesbian, Mental Health"
1380,"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,"A story of love and duty set in San Francisco's Chinatown during the Red Scare.“That book. It was about two women, and they fell in love with each other.” And then Lily asked the question that had taken root in her, that was even now unfurling its leaves and demanding to be shown the sun: “Have you ever heard of such a thing?”Seventeen-year-old Lily Hu can’t remember exactly when the question took root, but the answer was in full bloom the moment she and Kathleen Miller walked under the flashing neon sign of a lesbian bar called the Telegraph Club.America in 1954 is not a safe place for two girls to fall in love, especially not in Chinatown. Red-Scare paranoia threatens everyone, including Chinese Americans like Lily. With deportation looming over her father—despite his hard-won citizenship—Lily and Kath risk everything to let their love see the light of day.","Historical Fiction, LGBT, Romance, Young Adult, Queer, Lesbian, Fiction"
1381,"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"A story of love and duty set in San Francisco's Chinatown during the Red Scare.“That book. It was about two women, and they fell in love with each other.” And then Lily asked the question that had taken root in her, that was even now unfurling its leaves and demanding to be shown the sun: “Have you ever heard of such a thing?”Seventeen-year-old Lily Hu can’t remember exactly when the question took root, but the answer was in full bloom the moment she and Kathleen Miller walked under the flashing neon sign of a lesbian bar called the Telegraph Club.America in 1954 is not a safe place for two girls to fall in love, especially not in Chinatown. Red-Scare paranoia threatens everyone, including Chinese Americans like Lily. With deportation looming over her father—despite his hard-won citizenship—Lily and Kath risk everything to let their love see the light of day.","Historical Fiction, LGBT, Romance, Young Adult, Queer, Lesbian, Fiction"
1456,"Machado, Carmen Maria",In the Dream House,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator,"For years Carmen Maria Machado has struggled to articulate her experiences in an abusive same-sex relationship. In this extraordinarily candid and radically inventive memoir, Machado tackles a dark and difficult subject with wit, inventiveness and an inquiring spirit, as she uses a series of narrative tropes—including classic horror themes—to create an entirely unique piece of work which is destined to become an instant classic.","Nonfiction, Memoir, LGBT, Queer, Horror, Feminism, Biography"
1457,"Machado, Carmen Maria",In the Dream House,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,"For years Carmen Maria Machado has struggled to articulate her experiences in an abusive same-sex relationship. In this extraordinarily candid and radically inventive memoir, Machado tackles a dark and difficult subject with wit, inventiveness and an inquiring spirit, as she uses a series of narrative tropes—including classic horror themes—to create an entirely unique piece of work which is destined to become an instant classic.","Nonfiction, Memoir, LGBT, Queer, Horror, Feminism, Biography"
1564,"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,Lee County Schools,March 2022,Administrator,"With an irresistible rhyming text and delightfully endearing illustrations, here is an exuberant celebration of playing, sleeping, crawling, and of course, very noisy babies doing all the wonderful things babies do best. Every day, everywhere, babies are born. They're kissed and dressed and rocked and fed—and completely adored by the families who love them. New York magazine's The Strategist chose Everywhere Babies as one of the ""Best (Nonobvious) Baby Books to Bring to a Shower."" As The Strategist "" Babies love looking at other babies, and this book is filled with all kinds of adorable ones."" Plus the book's art is ""really layered and thoughtful in representing all kinds of babies and parents."" The Strategist's kids loved the ""really pleasing cadence and rhyme structure."" Marla Frazee's popular books include two Caldecott Honor winners, the Clementine series, and The Boss Baby, among many others.","Picture Books, Childrens, Banned Books, Family, Fiction, LGBT, Kids"
1565,"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,"With an irresistible rhyming text and delightfully endearing illustrations, here is an exuberant celebration of playing, sleeping, crawling, and of course, very noisy babies doing all the wonderful things babies do best. Every day, everywhere, babies are born. They're kissed and dressed and rocked and fed—and completely adored by the families who love them. New York magazine's The Strategist chose Everywhere Babies as one of the ""Best (Nonobvious) Baby Books to Bring to a Shower."" As The Strategist "" Babies love looking at other babies, and this book is filled with all kinds of adorable ones."" Plus the book's art is ""really layered and thoughtful in representing all kinds of babies and parents."" The Strategist's kids loved the ""really pleasing cadence and rhyme structure."" Marla Frazee's popular books include two Caldecott Honor winners, the Clementine series, and The Boss Baby, among many others.","Picture Books, Childrens, Banned Books, Family, Fiction, LGBT, Kids"
1566,"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,Walton County School District,April 2022,Administrator,"With an irresistible rhyming text and delightfully endearing illustrations, here is an exuberant celebration of playing, sleeping, crawling, and of course, very noisy babies doing all the wonderful things babies do best. Every day, everywhere, babies are born. They're kissed and dressed and rocked and fed—and completely adored by the families who love them. New York magazine's The Strategist chose Everywhere Babies as one of the ""Best (Nonobvious) Baby Books to Bring to a Shower."" As The Strategist "" Babies love looking at other babies, and this book is filled with all kinds of adorable ones."" Plus the book's art is ""really layered and thoughtful in representing all kinds of babies and parents."" The Strategist's kids loved the ""really pleasing cadence and rhyme structure."" Marla Frazee's popular books include two Caldecott Honor winners, the Clementine series, and The Boss Baby, among many others.","Picture Books, Childrens, Banned Books, Family, Fiction, LGBT, Kids"
1617,"Morrison, Toni",Beloved,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1618,"Morrison, Toni",Beloved,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1619,"Morrison, Toni",Beloved,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1620,"Morrison, Toni",Beloved,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1621,"Morrison, Toni",Beloved,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1622,"Morrison, Toni",Beloved,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1623,"Morrison, Toni",Beloved,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1624,"Morrison, Toni",Beloved,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1625,"Morrison, Toni",Beloved,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1626,"Morrison, Toni",Beloved,Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1627,"Morrison, Toni",Beloved,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School"
1629,"Morrison, Toni",The Bluest Eye,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1630,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1631,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,February 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1632,"Morrison, Toni",The Bluest Eye,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1633,"Morrison, Toni",The Bluest Eye,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1634,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Florida,Sarasota County School,May 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1635,"Morrison, Toni",The Bluest Eye,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1636,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1637,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1638,"Morrison, Toni",The Bluest Eye,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1639,"Morrison, Toni",The Bluest Eye,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1640,"Morrison, Toni",The Bluest Eye,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1641,"Morrison, Toni",The Bluest Eye,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1642,"Morrison, Toni",The Bluest Eye,Banned in Libraries and Classrooms,,,,Missouri,Wentzville School District,January 2022,Formal Challenge,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
1643,"Morrison, Toni",The Bluest Eye,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.","Fiction, Classics, Historical Fiction, Banned Books, African American, Race, Literary Fiction"
